time,lat,long,photo,lux
2018-04-28-00-39-03,-50.79451517802446,-60.817001577412356,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-03LuxQuest.jpg,5.234248046875
2018-04-28-00-39-05,-50.81863257598378,-60.624424393763846,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-05LuxQuest.jpg,5.236373697916667
2018-04-28-00-39-08,-50.85416322004618,-60.335165882413804,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-08LuxQuest.jpg,5.390240885416667
2018-04-28-00-39-11,-50.88891180744862,-60.045456578578545,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-11LuxQuest.jpg,5.0324479166666665
2018-04-28-00-39-13,-50.91164267700643,-59.8520666024188,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-13LuxQuest.jpg,5.199153645833333
2018-04-28-00-39-16,-50.945083283182804,-59.56161280796401,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-16LuxQuest.jpg,5.147307942708333
2018-04-28-00-39-19,-50.97774183269922,-59.27072871159151,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-19LuxQuest.jpg,5.156110026041667
2018-04-28-00-39-21,-50.999075928571756,-59.07657375424473,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-21LuxQuest.jpg,5.183629557291667
2018-04-28-00-39-24,-51.03041966667295,-58.78499297857688,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-24LuxQuest.jpg,5.22095703125
2018-04-28-00-39-27,-51.060971102830415,-58.49300239155884,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-27LuxQuest.jpg,5.274195963541667
2018-04-28-00-39-29,-51.08089817973393,-58.29812343416003,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-29LuxQuest.jpg,5.521396484375
2018-04-28-00-39-32,-51.110127974286996,-58.00547714898167,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-32LuxQuest.jpg,5.208570963541667
2018-04-28-00-39-35,-51.138558636707174,-57.71245520339895,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-35LuxQuest.jpg,5.24857421875
2018-04-28-00-39-37,-51.15707186445249,-57.516893227083145,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-37LuxQuest.jpg,5.406396484375
2018-04-28-00-39-40,-51.184174055079104,-57.22325656447513,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-40LuxQuest.jpg,5.474069010416667
2018-04-28-00-39-43,-51.21047369847824,-56.9292579018411,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-43LuxQuest.jpg,5.301070963541667
2018-04-28-00-39-45,-51.22756283178161,-56.733070963216235,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-45LuxQuest.jpg,5.483203125
2018-04-28-00-39-48,-51.25252375810342,-56.4385053948811,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-48LuxQuest.jpg,5.361070963541667
2018-04-28-00-39-51,-51.27668213719775,-56.143611977465795,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-51LuxQuest.jpg,5.365094401041667
2018-04-28-00-39-53,-51.29233693077543,-55.94683764257231,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-53LuxQuest.jpg,5.4666145833333335
2018-04-28-00-39-56,-51.31514976260327,-55.651418300590926,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-56LuxQuest.jpg,5.321637369791667
2018-04-28-00-39-59,-51.33715321701446,-55.355698430286054,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-39-59LuxQuest.jpg,5.541923828125
2018-04-28-00-40-01,-51.35137025577185,-55.15838792554272,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-01LuxQuest.jpg,5.131722005208333
2018-04-28-00-40-04,-51.37202133272738,-54.86218994199595,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-04LuxQuest.jpg,5.273346354166667
2018-04-28-00-40-07,-51.39185620207709,-54.56571533578779,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-07LuxQuest.jpg,5.3572265625
2018-04-28-00-40-09,-51.40462865582502,-54.36791988761339,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-09LuxQuest.jpg,5.352958984375
2018-04-28-00-40-12,-51.42311114771908,-54.07101497948752,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-12LuxQuest.jpg,5.199173177083333
2018-04-28-00-40-15,-51.44077401691273,-53.773864184551535,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-15LuxQuest.jpg,5.138974609375
2018-04-28-00-40-17,-51.452095055462024,-53.57563160427025,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-17LuxQuest.jpg,5.331790364583333
2018-04-28-00-40-20,-51.46839530191626,-53.278098318740746,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-20LuxQuest.jpg,5.489788411458333
2018-04-28-00-40-23,-51.48387592567009,-52.980346467157794,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-23LuxQuest.jpg,5.455107421875
2018-04-28-00-40-25,-51.493742133926176,-52.78173139628299,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-25LuxQuest.jpg,5.476080729166667
2018-04-28-00-40-28,-51.50785671984601,-52.48364145033612,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-28LuxQuest.jpg,5.549534505208333
2018-04-28-00-40-31,-51.52114826797085,-52.18536708928167,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-31LuxQuest.jpg,5.140445963541667
2018-04-28-00-40-33,-51.52955281574455,-51.98641733913754,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-33LuxQuest.jpg,5.463349609375
2018-04-28-00-40-36,-51.541471495846224,-51.687856110137936,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-36LuxQuest.jpg,5.516357421875
2018-04-28-00-40-39,-51.5525705532475,-51.38913437169285,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-39LuxQuest.jpg,5.517265625
2018-04-28-00-40-41,-51.559510025444226,-51.189904583792746,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-41LuxQuest.jpg,5.365432942708333
2018-04-28-00-40-44,-51.569229384633154,-50.8909437887267,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-44LuxQuest.jpg,5.4750358072916665
2018-04-28-00-40-47,-51.5781257060271,-50.591856635161015,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-47LuxQuest.jpg,5.4155891927083335
2018-04-28-00-40-49,-51.58359668755228,-50.3924014510183,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-49LuxQuest.jpg,5.251559244791666
2018-04-28-00-40-52,-51.59111672582846,-50.093126467250435,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-52LuxQuest.jpg,5.321575520833333
2018-04-28-00-40-55,-51.59780689612049,-49.79375244573961,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-55LuxQuest.jpg,5.317887369791666
2018-04-28-00-40-58,-51.603670613522944,-49.49429304686415,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-40-58LuxQuest.jpg,5.552213541666666
2018-04-28-00-41-00,-51.6071198590538,-49.29460905138425,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-00LuxQuest.jpg,5.495794270833334
2018-04-28-00-41-03,-51.61160046314933,-48.995030124198315,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-03LuxQuest.jpg,5.368287760416667
2018-04-28-00-41-06,-51.61525461435529,-48.69539655549903,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-06LuxQuest.jpg,5.146901041666666
2018-04-28-00-41-08,-51.61723195412001,-48.49561352227615,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-08LuxQuest.jpg,5.255325520833333
2018-04-28-00-41-11,-51.61950299201904,-48.19590823659058,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-11LuxQuest.jpg,4.86283203125
2018-04-28-00-41-14,-51.620947577028495,-47.89617904524291,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-14LuxQuest.jpg,5.06443359375
2018-04-28-00-41-16,-51.62144959593249,-47.696348200695844,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-16LuxQuest.jpg,5.097610677083333
2018-04-28-00-41-19,-51.62151106763502,-47.39660193387525,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-19LuxQuest.jpg,5.09791015625
2018-04-28-00-41-22,-51.62074267135339,-47.096855667054655,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-22LuxQuest.jpg,5.150179036458334
2018-04-28-00-41-24,-51.619769369396664,-46.89703506779135,/home/pi/Transfer/3435_Lux Quest/61/2018-04-28-00-41-24LuxQuest.jpg,5.190296223958334
